category,title,pricing_unit,price
compound microscope,Skip to,₱,0.0
compound microscope,"1-16 of 918 results for ""compound microscope""",₱,0.0
compound microscope,Results,₱,0.0
compound microscope,"PalliPartners Compound Microscope for Adults & Kids - 100X-2000X High-Power Biological Microscope for Students, School Lab & Home Education, with Slides Set & Phone Adapter (White)",₱,5235.44
compound microscope,"Professional Compound Microscopes for Adults, Kids 8-12 & Students | 2000X Magnification Lab & Home Microscope with Phone Adapter, Complete Slides Set (Gray White)",₱,4585.84
compound microscope,"AmScope M150 Series Portable LED Monocular Student Compound Microscope - 40X-1000X Magnification - Microscope Kit Includes Dust Cover, 2 Clips & 2 Eyepieces",₱,5991.44
compound microscope,"Microscope for Kids Beginners Children Student, 40X- 1000X Compound Microscopes with 52 pcs Educational Kits",₱,3331.44
compound microscope,AmScope B120C Series Student & Professional LED Binocular Compound Microscope - 40X-2500X Magnification - Features Siedentopf Head & 3D Mechanical Stage,₱,15679.44
compound microscope,"Compound Binocular Microscope for Kids & Students, 40X-2000X Magnification, Microscope Kit with Slides & Specimens, Lab Equipment for School Biology Class & Home Science Experiments",₱,6915.44
compound microscope,"Microscope for Adults Kids, 100X-2000X BEBANG Compound Microscope with Microscope Slides, Microscope Kit for Kids Students Home School Lab",₱,3863.4399999999996
compound microscope,"Compound Microscope，40X-2500X Research Class Professional Microscope，WF10x and WF25x eyepieces, Dual LED Lighting and Two-Layer Mechanical Stage，Microscope for Adults…",₱,8399.44
compound microscope,"Microscope 40X-2500X Binocular Microscope WF10x and WF25x Eyepieces, Dual LED Illumination, Adult Microscope for School Home Lab Education (Binocular Microscope)",₱,6551.44
compound microscope,"Microscope for Adults Kids,40X-2000X Monocular Microscope Kit for Home School Lab, 2 LED Lights & 5 Colors Kids Microscope with Phone Holder,10 Specimen Slides,20 Slides,100 Coverslips, Bag",₱,3863.4399999999996
compound microscope,"Compound Trinocular Microscope 40X-5000X Magnification, Research Grade Professional Microscope, Two Levels of Mechanical Stage LED Illumination, USB Video Camera with Microscope for Adults",₱,12375.44
compound microscope,"SWIFT Compound Monocular Microscope SW200DL with 40X-1000X Magnification, Dual Light, Precision Fine Focus, Wide-Field 25X Eyepiece and Cordless Capability for Student Beginner",₱,5039.44
compound microscope,"Binocular Compound Microscope 40X-2000X, Research Grade Professional Microscope with Dual Mechanical Stages and Coaxial Coarse/Fine Focus Knobs, Built-in Electronic Eyepieces, Adult Microscope",₱,7139.44
compound microscope,"SWIFT SW380B 40X-2500X Magnification, Siedentopf Head, Research-Grade Binocular Compound Lab Microscope with Wide-Field 10X and 25X Eyepieces, Mechanical Stage, Ultra-Precise Focusing",₱,13999.44
compound microscope,"Swift SW350T Compound Trinocular Microscope,40X-2500X Magnification,Two-Layer Mechanical Stage,with 5.0 mp Camera and Software Windows/Mac Compatible and 5 PCS Prepared Slides and 5 PCS Blank Slides",₱,19599.440000000002
compound microscope,Microscope for Adults Kids 40X-2000X Compound Monocular Microscope for Students School Laboratory Home Education with Slides Set Phone Adapter,₱,4087.4399999999996
compound microscope,"40X-2000X Microscopes for Kids Students Adults, with Microscope Prepared Slides 30p, Microscope Accessories, Phone Adapter, Microscopes for School Laboratory Home Education",₱,4814.88
