Category,web-scraper-start-url,name,price
"Safety Goggles","Safety Goggles","Chemical Splash and Impact Safety Goggles, Adult","$5.45"
"Litmus Paper","Litmus Paper","Litmus Paper, red, 100 strips","$1.80"
"Refracting Telescope","Refracting Telescope","Simple Refracting Telescope Kit","$20.95"
"Safety Goggles","Safety Goggles","Chemistry Safety Goggles",""
"Safety Goggles","Safety Goggles","Chemical Splash and Impact Safety Goggles, Child","$4.50"
"Safety Goggles","Safety Goggles","Safety Glasses, Adult","$4.75"
"Test Tube 100mm","Test Tube 100mm","Test Tubes, polystyrene, 13 x 100 mm, 12 pack","$6.95"
"Safety Goggles","Safety Goggles","Safety Glasses, Child size","$3.95"
"Hydrochloric Acid","Hydrochloric Acid","Hydrochloric Acid, 1M, 30 mL","$6.75"
"Replacement Bulb for Microscope","Replacement Bulb for Microscope","Bulb, 5 watt, 110-120 volt fluorescent","$11.95"
"Hydrochloric Acid","Hydrochloric Acid","Hydrochloric Acid, 32-36% concentration (10.2-11.65 Molar), 100 mL","$7.95"
"Test Tube 100mm","Test Tube 100mm","Test Tubes, small, 13 x 100 mm, 6 pack","$5.25"
"Litmus Paper","Litmus Paper","Litmus Paper, blue, 100 strips","$1.80"
"lab manual student","lab manual student","BJU Press Biology Student Lab Manual","$48.00"
"lab manual student","lab manual student","BJU Press Physical Science Student Lab Manual","$48.00"
"Replacement Bulb for Microscope","Replacement Bulb for Microscope","Microtome Knife Replacement Blade","$2.95"
"Bunsen Burner","Bunsen Burner","Portable Micro Lab Burner","$73.95"
"Hydrochloric Acid","Hydrochloric Acid","Hydrochloric Acid, 1 Molar, 100 mL","$7.95"
"Graduated Cylinder 100","Graduated Cylinder 100","Graduated Cylinder, polypropylene, 100 mL","$4.75"
"Replacement Bulb for Microscope","Replacement Bulb for Microscope","Bulb, 10 watt, 12 volt tungsten","$9.95"
"Hydrochloric Acid","Hydrochloric Acid","Hydrochloric Acid, 32-36% concentration (10.2-11.65 Molar), 30 mL","$6.75"
"Bunsen Burner","Bunsen Burner","Alcohol Lamp, glass","$5.70"
"lab manual student","lab manual student","BJU Press Chemistry Student Lab Manual","$48.00"
"Bunsen Burner","Bunsen Burner","Alcohol Lamp Burner, Wickless","$19.95"
"Replacement Bulb for Microscope","Replacement Bulb for Microscope","Bulb, 20 watt, 110-120 volt tungsten","$19.95"
"Bunsen Burner","Bunsen Burner","Alcohol Lamp & Stand Set","$17.95"
"Graduated Cylinder 100","Graduated Cylinder 100","Graduated Cylinder, glass, 100 mL","$9.95"
"Triple Beam Balance","Triple Beam Balance","Triple Beam Balance, 2610 g","$133.95"
"Microscope Slides 72 pack","Microscope Slides 72 pack","Microscope Slides, plain glass, 72 pack","$6.95"
"Beaker 100ml","Beaker 100ml","Beaker, glass, 100 mL","$3.30"
"Microscope Slides 72 pack","Microscope Slides 72 pack","Microscope Slides, frosted glass, 72 pack","$8.75"
