Category,web-scraper-start-url,name,price
"dissecting kit","dissecting kit","28 Piece Complete Dissection Kit with Dissecting Scissors, Forceps, Scalpels, Teasing Needles, Probes, and Deluxe Leather Case","16"
"dissecting kit","dissecting kit","Amazing Owl Pellet Dissection Kit – 10 -Piece Owl Pellet Set for Science Lab Projects – w/Tweezers and Wooden Probes – Ideal for Fun Class Projects - Intended for Ages 15 & Older","75"
"dissecting kit","dissecting kit","Dissecting Kit - Student","10"
"microscope slides 50","microscope slides 50","50 Microscope Slides and 100 Covers Set for Kids Adults Students Homeschool Edu - Included 30 Prepared Slides with Plants Animals Insects Specimens, 20 Blank Slides and 100 Coverslips","23"
"reflecting telescope 150mm","reflecting telescope 150mm","1400x 150 mm Reflector Newtionan Astronomical Telescope High Power Equatorial Mount Star Planet Moon Saturn Jupiter","309"
"microscope slides 50","microscope slides 50","AmScope PS50 Prepared Microscope Slide Set for Basic Biological Science Education, 50 Slides, Includes Fitted Wooden Case","30"
"dissecting kit","dissecting kit","61936PCT Precision Dissection Kit - 25-Piece Biology Kit - 8 Stainless Steel Instruments - Extra Blades & T-Pins - Biology Students & Faculty - Autoclavable Case in Assorted Colors","14"
"microscope slides 50","microscope slides 50","Microscope Slides, Ultra-Clear Blank Microscope Slides and Covers - 50 Slides, 100 Coverslips, Optical Glass Slides for Microscope, Microscope Accessories for Experiments and Analyses","8"
"reflecting telescope 150mm","reflecting telescope 150mm","Telescope 150EQ Telescopes for Adults High Powered - Deesoo 150mm Aperture Beginners Telescope - Professional Reflector Telescope with Phone Adapter 2X Barlow Lens Moon Filter","299"
"dissecting kit","dissecting kit","Top Secret Toys Dissect-It Discover-It Dinosaur Dig Kit, Dissecting Gel Kids Science Kit Project to Learn Anatomy, STEM Toys for Boys & Girls Ages 6+","14"
"reflecting telescope 150mm","reflecting telescope 150mm","Celestron – StarSense Explorer 150mm Tabletop Dobsonian Smartphone App-Enabled Telescope – Works with StarSense App to Help You Find Nebulae, Planets & More – iPhone/Android Compatible","464"
"microscope slides 50","microscope slides 50","LAKWAR 50 Microscope Slides, Blank Glass Slides for Microscope, Pre-Cleaned Laboratory Microscope Slides, Well-Made Ultra-Clear Optical Glass","8"
"dissecting kit","dissecting kit","Classroom Dissection Set","139"
"microscope slides 50","microscope slides 50","Rounded Edge Microscope Slides Kit, 50 Pcs Pre-Cleaned Blank Microscope Slides and 100 Pcs 22x22mm Square Coverslips Cover Glass for Monocular Binocular Trinocular Microscopes","7"
"microscope slides 50","microscope slides 50","E35.3501 Blank Microscope Slides & 100-Pieces Square Cover Glass, Glass","7"
"microscope slides 50","microscope slides 50","Single Depression Concave Microscope Slides Kit, 50 Pcs Pre-Cleaned Blank Microscope Slides and 100 Pcs 22x22mm Square Coverslips Cover Glass for Monocular Binocular Trinocular Microscopes","28"
