method,item,pricing_unit,avg_price
Competitive Bidding,Compound Microscope,₱,12428.844999999978
Competitive Bidding,Beaker 50ml,₱,924.9713274336286
Competitive Bidding,Beaker 100ml,₱,921.5733333333341
Competitive Bidding,Beaker 250ml,₱,1164.2835555555562
Competitive Bidding,Test Tube 15ml,₱,1766.4618867924542
Competitive Bidding,Bunsen Burner,₱,1351.6768932038844
Competitive Bidding,Thermometer (-10 to 110C),₱,2666.3579797979796
Competitive Bidding,Microscope Slides,₱,2057.345000000001
Competitive Bidding,Lab Manual - Grade 10 Science,₱,1130.2447058823536
Competitive Bidding,Erlenmeyer Flask 250ml,₱,1258.817000000001
Competitive Bidding,Test Tube Rack,₱,921.922790697675
Competitive Bidding,Filter Paper pack of 100,₱,1379.9116279069776
Limited Source Bidding,Refracting Telescope 70mm,₱,9262.998811881183
Limited Source Bidding,Triple Beam Balance,₱,4827.816470588235
Limited Source Bidding,pH Meter basic,₱,3824.0772649572673
Limited Source Bidding,Graduated Cylinder 100ml,₱,897.8056074766363
Limited Source Bidding,Hot Plate basic,₱,2657.114234234235
Limited Source Bidding,Stopwatch digital,₱,1380.5883185840712
Limited Source Bidding,Prism glass,₱,898.6770270270279
Limited Source Bidding,Spring Scale 500g,₱,1440.596626506025
Limited Source Bidding,Bar Magnet pair,₱,922.1440000000008
Limited Source Bidding,Tuning Fork 256 Hz,₱,1582.2554054054076
Limited Source Bidding,Lens Set convex concave,₱,1541.9371428571428
Limited Source Bidding,Ammeter basic,₱,2040.0856565656575
Negotiated Procurement,Voltmeter basic,₱,950.8388235294128
Negotiated Procurement,Hydrochloric Acid,₱,1853.920683760685
Negotiated Procurement,Dissecting Kit,₱,1226.538666666668
Negotiated Procurement,Petri Dishes pack of 20,₱,1587.3521311475417
Negotiated Procurement,Universal Indicator Solution 100ml,₱,1445.0036363636364
Negotiated Procurement,Copper Sulfate,₱,2602.110476190479
Negotiated Procurement,Rubber Stoppers,₱,481.3773493975901
Negotiated Procurement,Dropper Bottle 50ml,₱,769.3600000000005
Negotiated Procurement,Agar Powder 100g,₱,1506.9861682243
Negotiated Procurement,Iron Filings 250g,₱,949.8799999999998
Direct Contracting,Safety Goggles,₱,968.9519379844975
Direct Contracting,Litmus Paper,₱,650.6307964601775
Direct Contracting,Pipette 10ml,₱,1293.0400000000006
Direct Contracting,Gloves nitrile box of 100,₱,1434.624144144145
Direct Contracting,Lab Aprons pack of 10,₱,2049.300615384616
Direct Contracting,Funnel plastic 100mm,₱,777.8623008849567
Direct Contracting,Alcohol Burner,₱,981.4400000000003
Direct Contracting,Fire Blanket,₱,2857.33930069929
Direct Contracting,Test Tube Brush,₱,552.7648000000002
Direct Contracting,Microscope Coverslips box of 100,₱,1974.7053846153858
Direct Contracting,Spatula stainless steel,₱,934.206963562754
